# Supplemental A1–C2 Wortschatz (fills B2/C1/C2). Source: github.com/abdullahbutt/deutsch-lernen-goethe-a1-c2
# lemma	level	article	plural
to be correct	a1		
to be happy	a1		
to be incumbent upon	c2		
to be missing	a1		to miss
to be on the wrong track	c2		
to be on thin ice	c2		
to beat around the bush	c2		
to become	a1		
to begin	a1		
to bother	c2		
to bring	a1		
to buy	a1		
to buy a pig in a poke	c2		
to calculate	a1		
to call	a1		
to carry	a1		to wear
to carry coals to Newcastle	c2		
to cast pearls before swine	c2		
to change	a1		to exchange
to choose	a1		to dial
to close	a1		
to come	a1		
to come up against a brick wall	c2		
to conjecture	c2		
to consider	b2		
to cook	a1		
to cost	a1		
to cry crocodile tears	c2		
to cut	a1		
to dance	a1		
to depart	a1		
to do	a1		
to drink	a1		
to drive	a1		to go
to earn	a1		
to eat	a1		
to fall prey to	c2		
to feel	a1		
to feel compelled	c2		
to feel obliged	c2		
to find	a1		
to fit	a1		
to fly	a1		
to forget	a1		
to get	a1		receive
to get at	c2		tackle
to get off	a1		
to get on/in	a1		
to give	a1		
to give it straight	c2		
to go	a1		to walk
to go for a walk	a1		
to go hand in hand	c2		
to happen	a1		
to have	a1		
to have breakfast	a1		
to have the audacity	c2		
to help	a1		
to hit the bull's eye	c2		
to hit the nail on the head	c2		
to hold a candle to sb	c2		
to hurt	a1		
to illustrate	c2		
to inform	b2		
to intend	c2		
to invite	a1		
to know	a1		
to last	a1		take time
to laugh	a1		
to learn	a1		
to leave up to	c2		
to lend/borrow	a1		
to lie	a1		be located
to like	a1		
to linger	c2		
to live	a1		
to look	a1		
to look for	a1		search
to look for a needle in a haystack	c2		
to lose	a1		
to make	a1		to do
to make use of	b2		
to manage	a1		to do
to mean	a1		
to meet	a1		
to name	a1		to call
to need	a1		
to open	a1		
to overcome one's inhibitions	c2		
to pack	a1		
to pause	c2		
to pay	a1		
to pick up	a1		
to play	a1		
to please	a1		to like
to practice	a1		
to present	c2		
to preserve	c2		
to presume	c2		
to prevail	c2		
to protest against	c2		
to prove	b2		
to provide	b2		
to put on the back burner	c2		
to question	b2		
to rain	a1		
to read	a1		
to read between the lines	c2		
to render unnecessary	c2		
to repeat	a1		
to run	a1		to walk
to say	a1		
to say goodbye	b2		
to schedule	c2		
to see	a1		
to sell	a1		
to send	a1		
to shop	a1		
to show	a1		
to sit down	a1		
to sleep	a1		
to smoke	a1		
to speak	a1		
to stand	a1		
to start up	b2		
to stay	a1		
to study	a1		
to swim	a1		
to take	a1		
to take a position	b2		
to take the wind out of sb's sails	c2		
to talk	a1		
to taste	a1		
to telephone	a1		
to tell	a1		narrate
to the right	a1		
to think	a1		
to throw the baby out with the bathwater	c2		
to tip the scales	c2		
to transfer	a1		
to travel	a1		
to understand	a1		
to use	a1		
to wait	a1		
to want	a1		
to wash	a1		
to watch TV	a1		
to weigh	a1		
to wish	a1		
to work	a1		
to write	a1		
today	a1		
together	a1		
toilet	a1		
tomato	a1		
tomorrow	a1		
too bad	a1		
tooth	a1		
town hall	a1		
track	a1		platform
traffic	a1		
tragen	a1		
train	a1		
train station	a1		
tram	a1		
traurig	a2		
tree	a1		
treffen	a1		
treiben	a1		
treu	a2		
trinken	a1		
trip	a1		journey
trocken	a1		
trocknen	a2		
true	a1		
tschüs	a1		
tun	a1		
two	a1		
typisch	a2		
um	a1		
um den heißen Brei herumreden	c2		
umfangreich	b2		
umsetzen	b2		
umso mehr als	c2		
umsteigen	a1		
umstritten	b2		
umtauschen	a2		
unauslöschlich	c2		
unbeschadet der Tatsache	c2		dass
uncle	a1		
und	a1		
under	a1		among
unentbehrlich	b2		
unerlässlich	c1		
unfortunately	a1		
ungeduldig	b1		
ungefähr	a2		
unser	a1		
unten	a1		
unter	a1		
unter Beweis stellen	b2		
unter vier Augen	c2		
untermauern	c1		
unterrichten	a2		
unterstützen	b2		
untersuchen	b2		
until	a1		till
unumstritten	c1		
unumwunden	c2		
unzureichend	b2		
urgent	a1		
vacation	a1		
vegetables	a1		
vegetarisch	a2		
veranschaulichen	c1		
verantwortlich	a2		
verbieten	a2		
verbindlich	b2		
verbringen	a2		
verdeutlichen	c1		
verdienen	a1		
vereinbaren	b2		
vergessen	a1		
vergleichen	a2		
verhandeln	b2		
verheiratet	a1		
verifizieren	c1		
verkaufen	a1		
verlegen	b1		
verlieren	a1		
vermeiden	b2		
vermissen	a2		
vernünftig	b1		
verschieden	a1		
versprechen	a2		
verstehen	a1		
versuchen	a2		
verweilen	c2		
verwitwet	a2		
verworren	c2		
very	a1		
verzweifelt	b1		
verärgert	b1		
veröffentlichen	b1		
viel	a1		
vielleicht	a1		
vier	a1		
view	a1		
village	a1		
voll	a1		
vom Regen in die Traufe	c2		
von	a1		
vor	a1		
vor allen Dingen	c2		
voraussetzen	b2		
vorgestern	a1		
vorherrschend	c1		
vorläufig	b2		
vorne	a1		
vorsichtig	a2		
wahr	a1		
wahren	c2		
wahrscheinlich	a1		
waiter	a1		
wall	a1		
wann	a1		
warm	a1		
warten	a1		
warum	a1		
was	a1		
waschen	a1		
water	a1		
way	a1		path
we	a1		
weather	a1		
wechseln	a1		
wedding	a1		
week	a1		
weekend	a1		
wegen	a1		
weh tun	a1		
weil	a1		
weit	a1		
weiter	a1		
weithin	c2		
weitreichend	c1		
weiß	a1		
welch-	a1		
welcome	a1		
wenig	a1		
wenn	a1		
wenngleich	c2		
wer	a1		
werden	a1		
wesentlich	b2		
west	a1		
what	a1		
wheel	a1		bicycle
when	a1		
where	a1		
where to	a1		
whether	a1		if
which	a1		
white	a1		
who	a1		
why	a1		
wichtig	a1		
widerlegen	c1		
widersprechen	b2		
widersprüchlich	b2		
wie	a1		
wieder	a1		
wiederholen	a1		
wiegen	a1		
willkommen	a1		
wind	a1		
window	a1		
wine	a1		
winter	a1		
wir	a1		
wirklich	a1		
wirksam	b2		
wissen	a1		
with	a1		
without	a1		
wo	a1		
woher	a1		
wohin	a1		
wohlgemerkt	c2		
wohnen	a1		
wollen	a1		
woman	a1		Mrs.
wonderful	a1		
word	a1		
work	a1		
world	a1		
worry	a1		
would like	a1		
wunderbar	a1		
wählen	a1		
wünschen	a1		
wütend	a2		
year	a1		
yes	a1		
yesterday	a1		
you	a1		
young	a1		
young person	a1		
your	a1		
zahlen	a1		
zehn	a1		
zeigen	a1		
zeitgemäß	b2		
zeitgenössisch	b2		
zerstören	b1		
zeugen von	c2		
zu	a1		
zubereiten	a2		
zufrieden	a2		
zugrunde liegen	c1		
zum Ausdruck bringen	b2		
zumal	c2		
zunehmen	a2		
zur Verfügung stehen	b2		
zur Verfügung stellen	b2		
zurück	a1		
zurückführen auf	c1		
zusammen	a1		
zusammenfassen	c1		
zusammenhängen	b2		
zusammenhängen mit	c1		
zustimmen	b2		
zuständig	b1		
zusätzlich	a2		
zuverlässig	a2		
zweckmäßig	c1		
zwei	a1		
zwischen	a1		
zwischen den Zeilen lesen	c2		
Ärztin	a1	die	-nen
Ästhetik	c1	die	
Ödnis	c2	die	
Öffentlichkeit	b1	die	
Öffnungszeit	a1	die	-en
Ökosystem	b2	das	-e
Öl	a2	das	-e
Österreich	a1		
Überfahrt	b1	die	-en
Überraschung	a2	die	-en
Überschwemmung	b2	die	-en
Überstunde	a2	die	-n
Überwachung	c1	die	
Überweisung	b1	die	-en
Übung	a1	die	-en
Übung macht den Meister.	c2		
ängstlich	a2		
ärgerlich	a2		
öffnen	a1		
ökologische Fußabdruck	b2	der	
üben	a1		
über	a1		
über seinen Schatten springen	c2		
überall	a1		
übermorgen	a1		
überrascht	b1		
übersetzen	a2		
übertragen	b1		
überwinden	b2		
überzeugen	a2		
