# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
Vertrag	a2	der	¨-e	Ich muss den Vertrag noch unterschreiben.
Vertrauen	b1	das		Ich habe Vertrauen zu Ihnen.
Vertreter	b1	der	-(1)	Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen.
Vertreterin	b1	die	-nen(1)	Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen.
Vertretung	b1	die	-en(1)	Herr Dr. Meyer macht für mich die Vertretung.
Verwaltung	b1	die	-en(1)	Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.
Verwandte	a1	der	-n	Peter besucht seine Verwandten in Polen.
Verzeihung	b1			Verzeihung! Ich habe die falsche Nummer gewählt.
Video	b1	das	-s(1)	Ich habe den Film auf Video aufgenommen.
Viertel	b1	das	- (D, A) → CH: Quartier(1)	Wir wohnen in einem schönen Viertel.
Virus	b1	der	Viren(1)	Ich habe mal wieder einen Virus auf meinem Computer.
Visitenkarte	b1	die	-n(1)	Darf ich Ihnen meine Visitenkarte geben?
Visum	b1	das	Visa(1)	Das Visum ist für drei Monate gültig.
Vitamin	b1	das	-e(1)	Der Arzt sagt, ich soll viele Vitamine essen.
Vogel	a2	der	¨-	Nadine mag Vögel.
Volleyball	a2	der	¨-e	Ich spiele gern Volleyball.
Vollzeit	b1	die		Ich möchte gerne Vollzeit arbeiten.
Voraussetzung	b1	die	-en(1)	Gesunde Ernährung ist die Voraussetzung für ein langes Leben.
Vorbereitung	b1	die	-en(1)	Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.
Vorfahrt	b1	die		Achtung! Das Auto rechts hat Vorfahrt!
Vorname	a1	der	-n	Ich heiße Müller, mein Vorname ist Eva.
Vorort	b1	der	-e(1)	Wir wohnen in einem Vorort von Köln.
Vorschlag	a2	der	¨-e	Was machen wir am Wochenende? Hast du einen guten Vorschlag?
Vorschrift	b1	die	-en(1)	Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.
Vorsicht	a1	die		Vorsicht! Da kommt ein Auto.
Vorstellung	b1	die	-en(1)	Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.
Vorstellungsgespräch	b1	das	-e(1)	Wann hast du dein Vorstellungsgespräch?
Vorteil	b1	der	-e(1)	Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt.
Vortrag	b1	der	¨-e(1)	Ihr Vortrag war sehr interessant.
Vorwahl	a1	die	-en(1)	Wie ist die Vorwahl von München?
Vorwurf	b1	der	¨-e(1)	Eva kann nichts dafür. Mach ihr keine Vorwürfe.
Wagen	a2	der	–	Wo steht Ihr Wagen?
Wahl	b1	die	-en(1)	Sie haben die Wahl: mit Vollpension oder Halbpension?
Wahrheit	b1	die	-en(1)	Sag mir bitte die Wahrheit. Hast du wieder geraucht?
Wald	a2	der	¨-er	Im Wald ist es ruhig.
Wand	b1	die	¨-e(1)	Ich stelle das Regal rechts an die Wand.
Wanderung	b1	die	-en(1)	Wir haben in den Ferien eine schöne Wanderung gemacht.
Ware	b1	die	-n(1)	Wir liefern Ihnen die Ware direkt ins Haus.
Waschmittel	b1	das	-(1)	Diese Bluse darfst du nicht mit jedem Waschmittel waschen.
Wasser	a1	das		Ein Glas Wasser, bitte.
Wasser (Sg.)	a2	das		Ein Glas Wasser, bitte.
Webseite	a2	die	-n	Es gibt viele Webseiten mit Grammatikübungen.
Wecker	b1	der	-(1)	Hast du den Wecker schon gestellt?
Weg	a2	der	-e	Das ist der kürzeste Weg.
Wein	a1	der	-e	Nein danke, ich möchte keinen Wein.
Weiterbildung	b1	die	-en(1)	Ich möchte eine Weiterbildung machen.
Welt	a1	die	-en	Es gibt viele Probleme auf der Welt.
Werbung	b1	die	-en(1)	Ich sehe gern Werbung im Fernsehen.
Werk	b1	das	-e(1)	Wir haben gestern das Werk besichtigt.
Werkstatt	a2	die	¨-en	Mein Auto ist kaputt. Es ist in der Werkstatt.
Werkzeug	b1	das	-e(1)	Wir hatten kein Werkzeug für die Reparatur dabei.
Wert	b1	der	-e(1)	Das Haus hat einen Wert von ca. 1 Mio. Euro.
Wettbewerb	a2	der	-e	Mein Sohn hat bei einem Wettbewerb gewonnen.
Wetter	a1	das		Wir hatten schlechtes Wetter.
Wetter (Sg.)	a2	das		Heute ist das Wetter gut: Es ist sonnig und warm.
Wetterbericht	b1	der	-e(1)	Hast du schon den Wetterbericht gehört?
Wettervorhersage	b1	die	-n(1)	Die Wettervorhersage für morgen: trocken und sonnig.
Wiederholung	b1	die	-en(1)	Eine Wiederholung der Prüfung ist möglich.
Wiederhören	a1	das	-	Wir müssen jetzt Schluss machen. Also auf Wiederhören!
Wiedersehen	a1	das	-	Auf Wiedersehen!
Wiese	b1	die	-n(1)	Vor unserem Haus ist eine Wiese mit Bäumen.
Wind	a1	der	-e	Der Wind kommt aus Osten.
Wirklichkeit	b1	die		Das Buch beschreibt die Wirklichkeit um 1900 sehr gut.
Wirkung	b1	die	-en(1)	Welche Wirkungen hat dieses Medikament? Muss ich vorsichtig sein?
Wirt	b1	der	-e(1)	Ich kenne die Wirtin von diesem Lokal.
Wirtin	b1	die	-nen(1)	Sie ist sehr nett.
Wirtschaft	b1	die		In der Schule lernen die Kinder viel über Wirtschaft und Politik.
Wissen	b1	das		Es hat ein großes Wissen über Pflanzen.
Wissenschaft	b1	die	-en(1)	Vertreter von Kunst und Wissenschaft treffen sich heute in Berlin.
Wissenschaftler	b1	der	- (1)	Sie ist Wissenschaftlerin an der Universität.
Wissenschaftlerin	b1	die	-nen(1)	Sie ist Wissenschaftlerin an der Universität.
Witz	a2	der	-e	Wir haben Witze erzählt und viel gelacht.
Wohnort	b1	der	-e(1)	Tragen Sie bitte Straße und Wohnort ein.
Wohnsitz	b1	der	-e(1)	Er hat einen festen Wohnsitz in dieser Stadt.
Wohnung	a1	die	-en	Seit wann haben Sie diese Wohnung?
Wohnzimmer	a2	das	-	Die Kinder sitzen im Wohnzimmer und sehen fern.
Wolke	a2	die	-n	Es gibt viele Wolken am Himmel.
Wolle	b1	die		Dieser Pullover ist aus reiner Wolle.
Workshop	a2	der	-s	Das war ein toller Workshop. Ich habe viel gelernt.
Wort	a1	das	-ö, er/-e	Ich kenne das Wort nicht.
Wunde	b1	die	-n(1)	Die Wunde müssen wir sofort verbinden.
Wunder	b1	das	- (1)	Ich bin mit dem Fahrrad gestürzt. Es war ein Wunder, dass nichts Schlimmes passiert ist.
Wunsch	a2	der	¨-e	Ich wünsche Ihnen alles Gute!
Wurst	a2	die	¨-e	Eine Wurst mit Pommes, bitte.
Wärme	b1	die		Wärme ist gut gegen meine Schmerzen.
Wäsche	a2	die	-n	Ich muss noch Wäsche waschen.
Wörterbuch	b1	das	¨-er(1)	Ich muss das Wort im Wörterbuch nachschlagen.
Zahl	a2	die	-en	Können Sie die Zahl bitte wiederholen?
Zahlung	b1	die	-en(1)	Bitte geben Sie bei der Zahlung die Rechnungsnummer an.
Zahn	a2	der	¨-e	Der Zahn tut mir schon seit einer Woche weh.
Zahnbürste	b1	die		Ich brauche eine neue Zahnbürste.
Zahncreme/-pasta	b1	die		Die neue Zahncreme riecht sehr gut.
Zange	b1	die	-n(1)	Um das Fahrrad zu reparieren, brauchst du eine Zange.
Zeichen	b1	das	- (1)	Bitte fangen Sie erst an, wenn ich Ihnen ein Zeichen gebe.
Zeichnung	b1	die	-en(1)	Das ist eine schöne Zeichnung.
Zeile	b1	die	-n(1)	Das Wort steht in der fünften Zeile von oben.
Zeit	a1	die	-en	Ich habe heute keine Zeit.
Zeitpunkt	b1	der	-e(1)	Er ist krank. Das ist kein guter Zeitpunkt für einen Besuch.
Zeitschrift	a2	die	-en	Diese Zeitschrift kauft Andrea jede Woche.
Zeitung	a1	die	-en	Ich lese gern Zeitung.
Zelt	a2	das	-e	Im Sommer schlafen wir manchmal im Zelt.
Zentrum	a2	das	-en	Der Bahnhof ist im Stadtzentrum.
Zertifikat	b1	das	-e(1)	Wenn ich die Prüfung schaffe, bekomme ich ein Zertifikat.
Zettel	a2	der	-	Hast du einen Zettel für mich? Ich muss etwas notieren.
Zeug/-zeug	b1	das		Was hast du mit meinen Sachen gemacht? – Ich habe dein ganzes Zeug in dein Zimmer getan.
Zeuge	b1	der	-n(1)	Die Polizei sucht noch Zeugen für den Unfall.
Zeugin	b1	die	-nen(1)	Die Polizei sucht noch Zeugen für den Unfall.
Zeugnis	a2	das	-se	Morgen bekommen die Kinder ihr Zeugnis.
Ziel	a2	das	-e	John läuft sehr schnell. Er war als erster am Ziel.
Zigarette	a1	die	-n	Wie teuer sind die Zigaretten?
Zimmer	a1	das	-	Das Zimmer ist groß.
Zinsen (nur Pl.)	b1	die		Wie viele Zinsen bekomme ich für mein Sparkonto?
Zirkus	a2	der	-se	Heute gehen wir mit den Kindern in den Zirkus.
Zitrone	a2	die	-n	Ich trinke den Tee mit Zitrone.
Zivilstand (CH) → Personenstand; D	b1	der	A: Familienstand(1)	Bei Zivilstand musst du ledig ankreuzen.
Zoll	a1	der	¨-e(1)	Wir müssen noch durch den Zoll.
Zone	b1	die	-n(1)	Hier können wir nicht fahren. Das ist eine Fußgängerzone.
Zoo	a2	der	-s	Am Sonntag gehen wir in den Zoo.
Zucker	b1	der		Nehmen Sie Zucker in den Tee?
Zucker (Sg.)	a2	der		Trinken Sie den Tee mit oder ohne Zucker?
Zufall	b1	der	¨-e(1)	So ein Zufall, dass ich dich hier treffe.
Zug	a1	der	-ü, e	Ich fahre gern mit dem Zug.
Zugang	b1	der	¨-e(1)	Der Zugang zu diesem Haus ist schwierig.
Zuhause	b1	das		Ich fühle mich hier wohl. Das ist mein Zuhause.
Zuhörer	b1	der	- (1)	Liebe Zuhörerinnen und Zuhörer, Ihre Meinung interessiert uns. Bitte rufen Sie an!
Zuhörerin	b1	die	-nen(1)	Liebe Zuhörerinnen und Zuhörer, Ihre Meinung interessiert uns. Bitte rufen Sie an!
Zukunft	b1	die		Du musst mehr für die Schule lernen. Denk an die Zukunft.
Zusammenarbeit	b1	die		Sie sind der neue Kollege? Auf gute Zusammenarbeit!
Zusammenhang	b1	der	¨-e(1)	In diesem Zusammenhang möchte ich Sie auf zwei Bücher aufmerksam machen.
Zuschauer	b1	der	- (1)	Liebe Zuschauer, wir wünschen Ihnen gute Unterhaltung.
Zuschlag	b1	der	¨-e(1)	Für diesen Zug müssen Sie einen Zuschlag zahlen.
Zustand	b1	der	¨-e(1)	Als wir in die Wohnung eingezogen sind, war sie in sehr schlechtem Zustand.
Zustimmung	b1	die	-en(1)	Wir brauchen Ihre Zustimmung, um Ihnen Werbung zu schicken.
Zutaten (Pl.)	b1	die		Welche Zutaten braucht man für diesen Kuchen?
Zweck	b1	der	-e(1)	Ich glaube, es hat keinen Zweck, sich zu bewerben. Der Job ist sicher schon weg.
Zweifel	b1	der	- (1)	Da ist ohne Zweifel die beste Lösung.
Zweitsprache	b1	die	-n(1)	Deutsch ist seine Zweitsprache.
Zwiebel	b1	die	-n(1)	Eine Zwiebel in kleine Stücke schneiden und zusammen mit dem Fleisch braten.
Zünder (A) (Pl.) → Streichholz; Zündholz	b1	die		Ich hätte gern eine Schachtel Zünder.
Zündholz	b1	das	¨-er → Streichholz; A: Zünder(1)	Ich hätte gern eine Schachtel Zündhölzer.
ab	a1			Ab morgen muss ich arbeiten.
abbiegen	b1			An der nächsten Kreuzung müssen Sie links abbiegen.
aber	a1			Ich bin oft im Büro, aber nur für wenige Stunden.
abfahren	a1			Wir fahren um zwölf Uhr ab.
abfliegen	a1			Wann fliegst du ab?
abgeben	a1			Ich muss meine Schlüssel abgeben.
abheben	b1			Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
abholen	a1			Wann kann ich den Schrank bei dir abholen?
abhängen	b1			Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.
abhängig	b1			Gregor ist finanziell von seinen Eltern abhängig.
ablehnen	b1			Er hat mein Angebot, ihm zu helfen, abgelehnt.
abmachen	b1			Wir hatten doch abgemacht, dass du die Getränke besorgst.
abnehmen	b1			Morgen können wir den Verband abnehmen.
abonnieren	b1			Diese Zeitschrift würde ich gerne abonnieren.
absagen	b1			Ich muss unser Treffen leider absagen, weil ich krank geworden bin.
abschließen	a2			Hast du die Tür abgeschlossen?
abschreiben	b1			Er hat die Hausaufgaben von mir abgeschrieben.
absolut	b1			Was Sie da sagen, ist absolut falsch.
abstimmen	b1			Lasst uns über diesen Punkt abstimmen.
abwaschen	b1			Ich muss noch das Geschirr abwaschen.
abwesend	b1			Herr Huber ist bis zum 25. April abwesend.
abwärts	b1			Von dort führt der Weg abwärts ins Tal.
achten	b1			Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.
aktiv	a2			Peter ist sehr aktiv und macht viel Sport.
aktuell	a2			Das ist das aktuelle Kinoprogramm.
akzeptieren	b1			Ich kann diese Bedingungen nicht akzeptieren.
all-	a1			Alles Gute!
allein	a1			Er kommt allein.
aller-	b1			Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.
allerdings	b1			Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.
allgemein	b1			Wir haben nur über allgemeine Probleme gesprochen.
alltäglich	b1			Das alltägliche Leben ist manchmal langweilig.
als	a2			Hector ist jünger als seine Schwester.
als ob	b1			Er tut so, als ob wir nie darüber gesprochen hätten.
also	a1			Also, es ist so: …
alt	a1			Wie alt sind Sie?
alternativ	b1			Wir brauchen alternative Energien.
an	a1			Fahren Sie an der nächsten Straße nach rechts.
an sein	a1			Heute Nacht war das Licht an.
an sein / aus sein	a2			Das Licht ist noch an/schon aus.
analysieren	b1			Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
anbieten	a1			Was darf ich dir anbieten?
ander	b1			Die anderen sind schon nach Hause gegangen.
ander-	a1			Willst du diese Jacke?
andererseits	b1			Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.
anders	a2			Anders geht das leider nicht.
anerkennen	b1			Meine Ausbildung wird hier nicht anerkannt.
anfangen	a1			Hier fängt die Bahnhofstraße an.
anfangs	b1			Anfangs ging alles gut.
angeben	b1			Bitte geben Sie Ihre genaue Adresse an.
angenehm	b1			Wir wünschen Ihnen eine angenehme Reise.
anhaben	b1			Gestern hatte Julia ein rotes Kleid an.
anklicken	a1			Da musst du dieses Wort anklicken.
ankommen	a1			Wann kommt dieser Zug in Hamburg an?
ankreuzen	a1			Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.
ankündigen	b1			Wir sollten unseren Besuch ankündigen.
anmachen	a1			Mach bitte das Licht an!
anmelden	b1			Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.
anmelden (sich)	a2			Wo kann ich mich anmelden?
annehmen	b1			Ich nehme Ihre Einladung gern an.
anrufen	a1		ruft an	Kann man Sie anrufen?
anschaffen	b1			Wir haben uns neue Möbel angeschafft.
anschließen	b1			Wo kann ich den Computer anschließen?
anschnallen	b1			Vergiss nicht, dich anzuschnallen.
ansehen	a2		sieht an	Darf ich eure Urlaubsfotos ansehen?
ansprechen	b1			Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.
anstellen	b1			Können Sie bitte die Heizung anstellen?
antworten	a1			Er antwortet nicht.
arbeiten	a1		arbeitet	Wo arbeiten Sie?
arbeitslos	a1			Es gibt bei uns viele Leute, die schon lange arbeitslos sind.
arm	a2			Sie haben nicht viel Geld, sie sind arm.
auch	a1			Ich bin auch Spanier.
auf	a1			Die Kinder spielen auf der Straße.
auf jeden/keinen Fal	a2			Ich möchte auf jeden Fall den neuen James-Bond-Film sehen. - Wirklich? Ich finde James-Bond-Filme langweilig. Ich sehe ihn auf keinen Fall an!
auf sein	a1			Du brauchst den Schlüssel nicht. Die Wohnung ist auf.
aufgeben	b1			Ich habe auf der Post ein Paket aufgegeben.
aufhalten	b1			Wo hält er sich gerade auf? – In München.
aufheben	b1			Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.
aufhören	a2			Wann hört ihr mit der Arbeit auf?
aufladen	b1			Ich muss mein Telefon aufladen. Die Batterie ist leer.
auflösen	b1			Die Tablette bitte in Wasser auflösen.
aufmachen	a2			Kannst du bitte die Tür aufmachen?
aufmerksam	b1			Die Schülerin hörte aufmerksam zu.
aufnehmen	b1			Wir haben Aneta in unseren Verein aufgenommen.
aufpassen	a2			Pass auf, der Teller fällt gleich auf den Boden!
aufregen	b1			Es regt mich auf, dass ich schon wieder Überstunden machen muss.
aufregend	a2			Die letzte Woche war sehr aufregend.
aufräumen	a2			Die Kinder müssen ihr Zimmer aufräumen.
aufschreiben	b1			Ich habe mir deine Telefonnummer aufgeschrieben.
aufstehen	a1			Ich muss immer um vier Uhr aufstehen.
auftreten	b1			Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
aufwachen	b1			Von dem Lärm bin ich aufgewacht.
aufwärts	b1			Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.
aus	a1			Er kommt aus Brasilien.
aus sein	a1			Das Licht ist aus.
ausdrucken	b1			Kann ich das auf deinem Drucker ausdrucken?
auseinander	b1			Wir wohnen nicht weit auseinander.
ausfallen	b1			Nächste Woche fällt der Kurs aus.
ausfüllen	a1			Füllen Sie bitte dieses Formular aus.
ausgeben	a2			Agata gibt viel Geld für Bücher aus.
ausgebildet	b1			Für diesen Beruf müssen Sie gut ausgebildet sein.
ausgehen	a2			Gehen wir am Freitag zusammen aus?
ausgezeichnet	b1			Essen und Unterkunft waren ausgezeichnet.
ausländisch	a1			Leider habe ich nur ausländisches Geld.
ausmachen	a1			Mach bitte das Licht aus!
auspacken	a2			Packst du bitte den Koffer aus?
ausreichen	b1			Das Geld muss bis März ausreichen.
ausreichend	b1			Das Geld ist für die Reise ausreichend.
ausrichten	b1			Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?
ausruhen (sich)	a2			Ruh dich erst mal aus! Du bist sicher müde.
ausschließen	b1			Das kann man nicht ganz ausschließen.
ausschließlich	b1			Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.
aussehen	a1			Das sieht schön aus.
aussprechen	a2			Wie spricht man das Wort aus?
aussteigen	a1			Wo muss ich aussteigen?
ausstellen	b1			Im Schaufenster sind Winterschuhe ausgestellt.
austragen	a2			Er trägt jeden Morgen die Zeitung aus.
auswählen	b1			Für die Aufgabe können Sie aus drei Themen auswählen.
ausziehen	b1			Willst du den Mantel nicht ausziehen?
automatisch	a1			Du musst nichts machen. Das geht automatisch.
außen	b1			Wir haben das Schloss nur von außen gesehen.
außer	a2			Außer Lisa möchte niemand den Film sehen.
außerdem	a2			Vier Brötchen, möchten Sie außerdem noch etwas?
außerhalb	a2			Die Wohnung ist nicht in der Stadt, sie liegt etwas außerhalb.
backen	a2			Wenn du kommst, backe ich einen Kuchen.
baden	a1		badet	Ich bade nicht so gern, ich dusche lieber.
bald	a1			Ich komme bald.
bar	a1			Muss ich bar zahlen oder geht‘s auch mit Karte?
basteln	a2		bastelt	Die Kinder haben etwas gebastelt.
bauen	a2		baut	Unsere Nachbarn bauen ein neues Haus.
beachten	b1			Bitte beachten Sie die Ansagen am Bahnsteig.
beantragen	b1			Hast du schon einen neuen Pass beantragt?
beantworten	a2			Können Sie meine Frage bitte beantworten?
bedanken (sich)	a2			Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
bedeuten	a1			Was bedeutet das Wort?
bedienen	b1			Werden Sie schon bedient?
beeilen (sich)	a2			Kannst du dich bitte beeilen? Der Bus fährt gleich ab!
beeinflussen	b1			Dieses Ereignis hat die Wahlen beeinflusst.
beenden	a2			Du musst deine Ausbildung auf jeden Fall beenden.
befreit	b1			Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.
befriedigend	b1			Das Ergebnis ist befriedigend.
begegnen	b1			Sind wir uns nicht schon mal irgendwann begegnet?
begeistert	b1			Es war ein tolles Konzert. Ich bin begeistert.
beginnen	a1			Das Spiel beginnt um 15.30 Uhr.
begleiten	b1			Ich begleite dich ein Stück.
begrenzt	b1			Die Teilnehmerzahl ist auf 12 begrenzt.
begründen	a2			Bitte begründen Sie Ihre Meinung.
begrüßen	b1			Der Gastgeber begrüßt seine Gäste.
behalten	b1			Darf ich die Zeitschrift behalten?
behandeln	b1			Welcher Arzt hat Sie bis jetzt behandelt?
behaupten	b1			Er behauptet, unsere Meinung sei nicht wichtig.
behindern	b1			Bitte parken Sie so, dass Sie niemanden behindern.
bei	a1			Offenbach liegt bei Frankfurt.
beid-	b1			Beide waren mit meinem Vorschlag einverstanden.
beide	a1			Beide Eltern arbeiten.
beinahe	b1			Ich habe heute beinahe den Bus verpasst.
beißen	b1			Pass auf, dass dich der Hund nicht beißt!
bekannt	a1			Picasso ist sehr bekannt.
bekannt geben	b1			Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.
bekommen	a1			Haben Sie meinen Brief bekommen?
beleidigen	b1			Ich wollte Sie nicht beleidigen.
beliebt	a2			Fußball ist bei vielen Menschen beliebt.
bemerken	b1			Ich habe nicht bemerkt, dass das Fenster offen ist.
benutzen	a1			Die Aufzüge bitte nicht benutzen!
benötigen	b1			Sagen Sie Bescheid, wenn Sie noch etwas benötigen.
beobachten	b1			Wer hat den Unfall beobachtet?
bequem	a2			Das Sofa ist sehr bequem.
beraten	a2			Unsere Sekretärin berät Sie gern, wenn Sie Fragen haben.
berechnen	b1			Die Kosten für die Fahrt müssen erst berechnet werden.
bereit	b1			Ich bin jederzeit bereit, dir zu helfen.
bereits	b1			Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.
berichten	a2			Alle Zeitungen berichten von dem Unfall.
beruflich	b1			Was machen Sie beruflich?
berufstätig	b1			Sind Sie berufstätig?
beruhigen	b1			Beruhigen Sie sich bitte. Es ist alles in Ordnung.
berühmt	a2			Thomas Müller ist ein berühmter Fußballspieler.
beschließen	b1			Wir haben beschlossen, uns ein kleineres Auto zu kaufen.
beschreiben	a2			Kannst du mir den Weg zum Bahnhof beschreiben?
beschränken	b1			Die Teilnehmerzahl für den Kurs ist beschränkt.
beschweren (sich)	a2			Hier ist es zu laut. Wo können wir uns beschweren?
beschädigen	b1			Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben.
beschäftigen	b1			Womit haben Sie sich bei Ihrer Arbeit beschäftigt?
besetzen	b1			Dieser Platz ist besetzt.
besetzt	a1			Die Nummer ist immer besetzt.
besichtigen	a1			Ich möchte gern den Dom besichtigen.
besitzen	b1			Besitzt Ihre Frau ein eigenes Auto?
besonder-	b1			Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.
besonders	a2			Dieses Angebot ist besonders günstig.
besorgen	b1			Soll ich die Eintrittskarten besorgen?
besprechen	b1			Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.
besser	a1			Es geht mir schon besser.
best-	a1			Am besten treffen wir uns morgen.
bestehen	a2			Ich habe die Prüfung bestanden!
bestellen	a1			Wir möchten bestellen, bitte.
bestimmt	b1			Das hat Nancy bestimmt nicht so gemeint.
bestrafen	b1			Zu schnelles Fahren wird streng bestraft.
bestätigen	a2			Ich kann bestätigen, dass er hier war.
besuchen	a1			Darf ich dich besuchen?
betreuen	b1			Wer betreut bei Ihnen die Kinder?
betrunken	b1			Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.
betrügen	b1			Ich würde meine Familie niemals betrügen.
bevor	b1			Bevor wir gehen, möchte ich noch etwas essen.
bewegen	b1			Ich kann mich vor Schmerzen kaum noch bewegen.
beweisen	b1			Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.
bewerben (sich)	a2			Ich möchte mich um diese Stelle bewerben.
bewölkt	a2			Heute ist es bewölkt.
bezahlen	a1			Wo muss ich bezahlen?
bieten	b1			Er hat mir für den alten Wagen noch 800 Euro geboten.
billig	a1			Die Jacke kostet nur 10 Euro!
bio(logisch)	b1			Biologische Lebensmittel gibt es jetzt auch im Supermarkt.
bis	a1			Ich fahre nur bis Stuttgart.
bisher	b1			Bisher ist alles in Ordnung.
bisschen	a1			Ich spreche Englisch, Französisch und ein bisschen Deutsch.
bitte	a1			Eine Tasse Kaffee, bitte!
bitten	a1			Darf ich Sie um etwas bitten?
bitter	a1			Der Kaffee schmeckt bitter.
blass	b1			Du siehst ganz blass aus. Bist du krank?
bleiben	a1			Ich bleibe heute zu Hause.
blind	b1			Er ist von Geburt an blind.
blitzen	b1			Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert.
blond	a2			Lisa hat blonde Haare.
bloß	b1			Ich möchte nichts kaufen. Ich möchte mich bloß umsehen.
bluten	b1			Ich habe mich verletzt. Meine Hand blutet.
blöd	a2			Ich finde es blöd, dass du morgen gehen musst.
blühen	b1			Die Bäume blühen schon. Es ist Frühling.
braten	a2			Braten Sie das Fleisch in etwas Öl!
brauchen	a1			Brauchst du die Zeitung noch?
brechen	b1			Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen.
breit	a1			Wie breit ist der Schrank?
bremsen	b1			Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.
brennen	b1			In diesem Haus hat es letztes Jahr gebrannt.
bringen	a1			Bringen Sie mir bitte noch einen Kaffee!
buchen	a2			Morgen buche ich unsere Urlaubsreise.
buchstabieren	a1			Bitte buchstabieren Sie Ihren Namen.
bunt	a2			Anna trägt gern bunte Kleider.
böse	a1			Sie ist böse auf mich.
chatten	a2			Luis chattet gern mit seinen Freunden im Internet.
chattet	a2			
chic/schick	b1			Ich finde dein Kleid sehr chic.
circa/ca.	a1			Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.
da	a1			Da hinten ist er ja.
da(r) (Bsp. darauf	a2		darüber)(1)	Darauf fällt mir keine Antwort ein.
dabei	a2			Hast du einen Stift dabei?
dafür	b1			Meine Schwester interessiert sich für Politik. Ich interessiere mich nicht dafür.
dafür/dagegen sein	a2			Ich bin dafür/dagegen.
dagegen	b1			Vorsicht, da ist ein Baum! Fahr nicht dagegen!
daher	b1			Ich bin erkältet, daher kann ich heute nicht kommen.
dahin	b1			Der Zug kommt in 30 Minuten. Bis dahin können wir einen Kaffee trinken.
damals	a2			Als Student hatte ich viel Zeit und wollte reisen. Aber damals hatte ich kein Geld.
damit	b1			Mach schnell, damit wir nicht zu spät kommen.
danach	b1			Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon.
daneben	a1			Du kennst doch die Post. Daneben ist die Bank.
dankbar	b1			Ich bin Ihnen sehr dankbar für Ihre Hilfe.
danke	a1			Soll ich Ihnen helfen? - Nein, danke!
danken	a1		dankt	Ich danke Ihnen für die Einladung.
dann	a1			Ich muss noch schnell zur Post, dann komme ich.
darstellen	b1			Er konnte das Problem sehr gut darstellen.
das/der (Schlag-)Obers (A)	b1			Ich hätte gern ein Stück Torte mit (Schlag-)Obers.
das/der Zvieri/Znüni	b1		-s (CH) → D: Imbiss; A: Jause(1)	Es ist Zeit für ein kleines Zvieri.
dass	a2			Rico hat gesagt, dass er auch zur Party kommt.
dauer	b1			Auf Dauer ist die Arbeit nicht interessant.
dauern	a1		dauert	Wie lange dauert der Film?
dauernd	b1			Das dauernde Klingeln des Telefons stört mich.
dein-	a1			Ist das dein Auto?
dekorieren	b1			Hilfst du mir, den Tisch für die Party zu dekorieren?
denken	a2		denkt	Ich denke, du hast recht.
denn	a1			Ich kann nicht kommen, denn ich bin krank.
der	a1		die, das(1)	Ich nehme das da.
der/das Blog	a2		-s	Ich schreibe einen Blog über Mode.
der/das Comic	a2		-s	Mein Sohn liest immer nur Comics.
